Transaction_Date,Store_ID,RewardsID,Prod_Num,Sale_Amount,Year,Month,Store_Location,State,Territory_Manager,Region,Region_Director,Product,CategoryID,SubcategoryID,Category,Subcategory,cust_id,date,time,name,email,phone,sms_opt_out
2024-01-11,843,,105326-IT,1717.7,2024,2024-01,Ithaca,New York,See Ellefson,East,Ana Jilani,"Apple MacBook Air (M2, 13-inch)",120,120-lap,Technology & Accessories,Laptops,,,,,,,
2024-01-24,736,,105326-IT,1717.7,2024,2024-01,North Harford,Maryland,Shruti Reddy,Northeast,Michael Jarvis,"Apple MacBook Air (M2, 13-inch)",120,120-lap,Technology & Accessories,Laptops,,,,,,,
2024-01-27,820,,105325-IT,1717.7,2024,2024-01,Kennebunkport,Maine,Erbayne Middleton,Northeast,Michael Jarvis,"Apple MacBook Pro (M2, 14-inch)",120,120-lap,Technology & Accessories,Laptops,,,,,,,
2024-01-27,849,,105325-IT,1717.7,2024,2024-01,Brooklyn,New York,See Ellefson,East,Ana Jilani,"Apple MacBook Pro (M2, 14-inch)",120,120-lap,Technology & Accessories,Laptops,,,,,,,
2024-01-27,827,,105326-IT,1717.7,2024,2024-01,Clifton,New Jersey,Miami Vue,Northeast,Michael Jarvis,"Apple MacBook Air (M2, 13-inch)",120,120-lap,Technology & Accessories,Laptops,,,,,,,
2024-01-02,850,283.0,105325-IT,1717.7,2024,2024-01,New York,New York,See Ellefson,East,Ana Jilani,"Apple MacBook Pro (M2, 14-inch)",120,120-lap,Technology & Accessories,Laptops,283.0,2023-12-18,20:20:00,Joe Keene Jr.,keene@keenecounty.police,918-555-2108,N
2024-01-26,865,,105326-IT,1717.7,2024,2024-01,Bridgeport,Connecticut,Ellen Lemon,East,Ana Jilani,"Apple MacBook Air (M2, 13-inch)",120,120-lap,Technology & Accessories,Laptops,,,,,,,
2024-01-22,840,,105325-IT,1717.7,2024,2024-01,Albany,New York,See Ellefson,East,Ana Jilani,"Apple MacBook Pro (M2, 14-inch)",120,120-lap,Technology & Accessories,Laptops,,,,,,,
2024-01-22,736,,105326-IT,1717.7,2024,2024-01,North Harford,Maryland,Shruti Reddy,Northeast,Michael Jarvis,"Apple MacBook Air (M2, 13-inch)",120,120-lap,Technology & Accessories,Laptops,,,,,,,
2024-01-26,836,,105326-IT,1717.7,2024,2024-01,Passaic,New Jersey,Miami Vue,Northeast,Michael Jarvis,"Apple MacBook Air (M2, 13-inch)",120,120-lap,Technology & Accessories,Laptops,,,,,,,
2024-01-09,819,,105326-IT,1717.7,2024,2024-01,Bar Harbor,Maine,Erbayne Middleton,Northeast,Michael Jarvis,"Apple MacBook Air (M2, 13-inch)",120,120-lap,Technology & Accessories,Laptops,,,,,,,
2024-01-14,817,,105325-IT,1717.7,2024,2024-01,Worcester,Massachusetts,Bo Heap,Northeast,Michael Jarvis,"Apple MacBook Pro (M2, 14-inch)",120,120-lap,Technology & Accessories,Laptops,,,,,,,
2024-01-03,724,,105326-IT,1717.7,2024,2024-01,Miami,Florida,Lana Ilana,South,Andy Gisselquist,"Apple MacBook Air (M2, 13-inch)",120,120-lap,Technology & Accessories,Laptops,,,,,,,
2024-01-17,736,,105326-IT,1717.7,2024,2024-01,North Harford,Maryland,Shruti Reddy,Northeast,Michael Jarvis,"Apple MacBook Air (M2, 13-inch)",120,120-lap,Technology & Accessories,Laptops,,,,,,,
2024-01-17,736,,105325-IT,1717.7,2024,2024-01,North Harford,Maryland,Shruti Reddy,Northeast,Michael Jarvis,"Apple MacBook Pro (M2, 14-inch)",120,120-lap,Technology & Accessories,Laptops,,,,,,,
2024-01-01,849,,105325-IT,1717.7,2024,2024-01,Brooklyn,New York,See Ellefson,East,Ana Jilani,"Apple MacBook Pro (M2, 14-inch)",120,120-lap,Technology & Accessories,Laptops,,,,,,,
2024-01-31,718,,105325-IT,1717.7,2024,2024-01,Wheat Ridge,Colorado,Jim Heck,West,Cassie Chambers,"Apple MacBook Pro (M2, 14-inch)",120,120-lap,Technology & Accessories,Laptops,,,,,,,
2024-01-22,834,,105326-IT,1717.7,2024,2024-01,New Brunswick,New Jersey,Miami Vue,Northeast,Michael Jarvis,"Apple MacBook Air (M2, 13-inch)",120,120-lap,Technology & Accessories,Laptops,,,,,,,
2024-01-09,806,,105326-IT,1717.7,2024,2024-01,Holyoke,Massachusetts,Bo Heap,Northeast,Michael Jarvis,"Apple MacBook Air (M2, 13-inch)",120,120-lap,Technology & Accessories,Laptops,,,,,,,
2024-01-13,736,,105325-IT,1717.7,2024,2024-01,North Harford,Maryland,Shruti Reddy,Northeast,Michael Jarvis,"Apple MacBook Pro (M2, 14-inch)",120,120-lap,Technology & Accessories,Laptops,,,,,,,
2024-01-21,828,,105326-IT,1717.7,2024,2024-01,East Orange,New Jersey,Miami Vue,Northeast,Michael Jarvis,"Apple MacBook Air (M2, 13-inch)",120,120-lap,Technology & Accessories,Laptops,,,,,,,
2024-01-10,705,,105325-IT,1717.7,2024,2024-01,Denver,Colorado,Jim Heck,West,Cassie Chambers,"Apple MacBook Pro (M2, 14-inch)",120,120-lap,Technology & Accessories,Laptops,,,,,,,
2024-01-30,817,,105325-IT,1717.7,2024,2024-01,Worcester,Massachusetts,Bo Heap,Northeast,Michael Jarvis,"Apple MacBook Pro (M2, 14-inch)",120,120-lap,Technology & Accessories,Laptops,,,,,,,
2024-01-18,731,367.0,105326-IT,1717.7,2024,2024-01,Annapolis,Maryland,Shruti Reddy,Northeast,Michael Jarvis,"Apple MacBook Air (M2, 13-inch)",120,120-lap,Technology & Accessories,Laptops,367.0,2024-02-15,11:20:30,Enid Sinclair,enid@nevermore.academy,914-555-1706,N
2024-01-13,721,,105325-IT,1717.7,2024,2024-01,Jacksonville,Florida,Lana Ilana,South,Andy Gisselquist,"Apple MacBook Pro (M2, 14-inch)",120,120-lap,Technology & Accessories,Laptops,,,,,,,
2024-01-09,850,,105330-IT,1376.44,2024,2024-01,New York,New York,See Ellefson,East,Ana Jilani,LG Gram 17,120,120-lap,Technology & Accessories,Laptops,,,,,,,
2024-01-30,736,,105330-IT,1376.44,2024,2024-01,North Harford,Maryland,Shruti Reddy,Northeast,Michael Jarvis,LG Gram 17,120,120-lap,Technology & Accessories,Laptops,,,,,,,
2024-01-19,710,,105330-IT,1376.44,2024,2024-01,Lafayette,Colorado,Jim Heck,West,Cassie Chambers,LG Gram 17,120,120-lap,Technology & Accessories,Laptops,,,,,,,
2024-01-02,833,,105330-IT,1376.44,2024,2024-01,Morristown,New Jersey,Miami Vue,Northeast,Michael Jarvis,LG Gram 17,120,120-lap,Technology & Accessories,Laptops,,,,,,,
2024-01-29,823,207.0,105330-IT,1376.44,2024,2024-01,South Portland,Maine,Erbayne Middleton,Northeast,Michael Jarvis,LG Gram 17,120,120-lap,Technology & Accessories,Laptops,207.0,2023-02-16,13:40:30,Carlton B.,carlton@banksresidence.la,310-555-1402,N
2024-01-06,828,56.0,105330-IT,1376.44,2024,2024-01,East Orange,New Jersey,Miami Vue,Northeast,Michael Jarvis,LG Gram 17,120,120-lap,Technology & Accessories,Laptops,56.0,2023-01-15,08:10:25,Leslie Knope,leslie@pawnee.gov,317-555-7001,N
2024-01-09,810,,105330-IT,1376.44,2024,2024-01,Nantucket,Massachusetts,Bo Heap,Northeast,Michael Jarvis,LG Gram 17,120,120-lap,Technology & Accessories,Laptops,,,,,,,
2024-01-16,810,,105336-IT,1317.7,2024,2024-01,Nantucket,Massachusetts,Bo Heap,Northeast,Michael Jarvis,Dell XPS 13,120,120-lap,Technology & Accessories,Laptops,,,,,,,
2024-01-22,736,,105338-IT,1317.7,2024,2024-01,North Harford,Maryland,Shruti Reddy,Northeast,Michael Jarvis,Dell Inspiron 15,120,120-lap,Technology & Accessories,Laptops,,,,,,,
2024-01-07,736,,105336-IT,1317.7,2024,2024-01,North Harford,Maryland,Shruti Reddy,Northeast,Michael Jarvis,Dell XPS 13,120,120-lap,Technology & Accessories,Laptops,,,,,,,
2024-01-13,807,,105338-IT,1317.7,2024,2024-01,Leominster,Massachusetts,Bo Heap,Northeast,Michael Jarvis,Dell Inspiron 15,120,120-lap,Technology & Accessories,Laptops,,,,,,,
2024-01-06,852,,105336-IT,1317.7,2024,2024-01,Charleston,South Carolina,Len Jensen,South,Andy Gisselquist,Dell XPS 13,120,120-lap,Technology & Accessories,Laptops,,,,,,,
2024-01-17,826,,105338-IT,1317.7,2024,2024-01,Cape May,New Jersey,Miami Vue,Northeast,Michael Jarvis,Dell Inspiron 15,120,120-lap,Technology & Accessories,Laptops,,,,,,,
2024-01-15,810,,105336-IT,1317.7,2024,2024-01,Nantucket,Massachusetts,Bo Heap,Northeast,Michael Jarvis,Dell XPS 13,120,120-lap,Technology & Accessories,Laptops,,,,,,,
2024-01-08,738,,105336-IT,1317.7,2024,2024-01,Queen Anne's County,Maryland,Shruti Reddy,Northeast,Michael Jarvis,Dell XPS 13,120,120-lap,Technology & Accessories,Laptops,,,,,,,
2024-01-13,865,,105336-IT,1317.7,2024,2024-01,Bridgeport,Connecticut,Ellen Lemon,East,Ana Jilani,Dell XPS 13,120,120-lap,Technology & Accessories,Laptops,,,,,,,
2024-01-04,845,,105336-IT,1317.7,2024,2024-01,Plattsburgh,New York,See Ellefson,East,Ana Jilani,Dell XPS 13,120,120-lap,Technology & Accessories,Laptops,,,,,,,
2024-01-27,736,,105336-IT,1317.7,2024,2024-01,North Harford,Maryland,Shruti Reddy,Northeast,Michael Jarvis,Dell XPS 13,120,120-lap,Technology & Accessories,Laptops,,,,,,,
2024-01-13,867,,105336-IT,1317.7,2024,2024-01,Hartford,Connecticut,Ellen Lemon,East,Ana Jilani,Dell XPS 13,120,120-lap,Technology & Accessories,Laptops,,,,,,,
2024-01-05,736,,105336-IT,1317.7,2024,2024-01,North Harford,Maryland,Shruti Reddy,Northeast,Michael Jarvis,Dell XPS 13,120,120-lap,Technology & Accessories,Laptops,,,,,,,
2024-01-02,835,,105336-IT,1317.7,2024,2024-01,Newark,New Jersey,Miami Vue,Northeast,Michael Jarvis,Dell XPS 13,120,120-lap,Technology & Accessories,Laptops,,,,,,,
2024-01-01,811,,105338-IT,1317.7,2024,2024-01,New Bedford,Massachusetts,Bo Heap,Northeast,Michael Jarvis,Dell Inspiron 15,120,120-lap,Technology & Accessories,Laptops,,,,,,,
2024-01-05,817,,105336-IT,1317.7,2024,2024-01,Worcester,Massachusetts,Bo Heap,Northeast,Michael Jarvis,Dell XPS 13,120,120-lap,Technology & Accessories,Laptops,,,,,,,
2024-01-10,817,,105338-IT,1317.7,2024,2024-01,Worcester,Massachusetts,Bo Heap,Northeast,Michael Jarvis,Dell Inspiron 15,120,120-lap,Technology & Accessories,Laptops,,,,,,,
2024-01-13,727,,105336-IT,1317.7,2024,2024-01,Sebring,Florida,Lana Ilana,South,Andy Gisselquist,Dell XPS 13,120,120-lap,Technology & Accessories,Laptops,,,,,,,
2024-01-28,810,274.0,105336-IT,1317.7,2024,2024-01,Nantucket,Massachusetts,Bo Heap,Northeast,Michael Jarvis,Dell XPS 13,120,120-lap,Technology & Accessories,Laptops,274.0,2024-01-11,21:35:10,George Bluth Sr.,george@bluthcompany.biz,949-555-2009,N
2024-01-26,732,,105338-IT,1317.7,2024,2024-01,Back River,Maryland,Shruti Reddy,Northeast,Michael Jarvis,Dell Inspiron 15,120,120-lap,Technology & Accessories,Laptops,,,,,,,
2024-01-26,736,,105338-IT,1317.7,2024,2024-01,North Harford,Maryland,Shruti Reddy,Northeast,Michael Jarvis,Dell Inspiron 15,120,120-lap,Technology & Accessories,Laptops,,,,,,,
2024-01-14,872,,105337-IT,1301.88,2024,2024-01,Waterbury,Connecticut,Ellen Lemon,East,Ana Jilani,HP Pavilion 14,120,120-lap,Technology & Accessories,Laptops,,,,,,,
2024-01-22,736,,105337-IT,1301.88,2024,2024-01,North Harford,Maryland,Shruti Reddy,Northeast,Michael Jarvis,HP Pavilion 14,120,120-lap,Technology & Accessories,Laptops,,,,,,,
2024-01-04,703,,105337-IT,1301.88,2024,2024-01,Boulder,Colorado,Jim Heck,West,Cassie Chambers,HP Pavilion 14,120,120-lap,Technology & Accessories,Laptops,,,,,,,
2024-01-27,846,,105337-IT,1301.88,2024,2024-01,Poestenkill,New York,See Ellefson,East,Ana Jilani,HP Pavilion 14,120,120-lap,Technology & Accessories,Laptops,,,,,,,
2024-01-27,851,,105337-IT,1301.88,2024,2024-01,Queens,New York,See Ellefson,East,Ana Jilani,HP Pavilion 14,120,120-lap,Technology & Accessories,Laptops,,,,,,,
2024-01-16,824,,105337-IT,1301.88,2024,2024-01,Atlantic City,New Jersey,Miami Vue,Northeast,Michael Jarvis,HP Pavilion 14,120,120-lap,Technology & Accessories,Laptops,,,,,,,
2024-01-08,736,98.0,105337-IT,1301.88,2024,2024-01,North Harford,Maryland,Shruti Reddy,Northeast,Michael Jarvis,HP Pavilion 14,120,120-lap,Technology & Accessories,Laptops,98.0,2023-04-09,16:05:40,Quinn M.,quinn@lawndale.high,973-555-9303,N
2024-01-03,823,,105337-IT,1301.88,2024,2024-01,South Portland,Maine,Erbayne Middleton,Northeast,Michael Jarvis,HP Pavilion 14,120,120-lap,Technology & Accessories,Laptops,,,,,,,
2024-01-29,739,,105337-IT,1301.88,2024,2024-01,Ridgely,Maryland,Shruti Reddy,Northeast,Michael Jarvis,HP Pavilion 14,120,120-lap,Technology & Accessories,Laptops,,,,,,,
2024-01-25,905,,105337-IT,1301.88,2024,2024-01,Beaumont,Texas,"Jeff ""Howdy"" Richards",South,Andy Gisselquist,HP Pavilion 14,120,120-lap,Technology & Accessories,Laptops,,,,,,,
2024-01-29,821,,105337-IT,1301.88,2024,2024-01,Lewiston,Maine,Erbayne Middleton,Northeast,Michael Jarvis,HP Pavilion 14,120,120-lap,Technology & Accessories,Laptops,,,,,,,
2024-01-09,721,,105337-IT,1301.88,2024,2024-01,Jacksonville,Florida,Lana Ilana,South,Andy Gisselquist,HP Pavilion 14,120,120-lap,Technology & Accessories,Laptops,,,,,,,
2024-01-27,826,407.0,105337-IT,1301.88,2024,2024-01,Cape May,New Jersey,Miami Vue,Northeast,Michael Jarvis,HP Pavilion 14,120,120-lap,Technology & Accessories,Laptops,407.0,2024-01-16,11:20:30,Tom Wambsgans,tom@waystarroyco.com,212-555-2106,N
2024-01-02,847,,105331-IT,1294.3,2024,2024-01,Rochester,New York,See Ellefson,East,Ana Jilani,Acer Chromebook Spin 713,120,120-lap,Technology & Accessories,Laptops,,,,,,,
2024-01-07,736,,105324-IT,1294.3,2024,2024-01,North Harford,Maryland,Shruti Reddy,Northeast,Michael Jarvis,Lenovo IdeaPad Flex 5,120,120-lap,Technology & Accessories,Laptops,,,,,,,
2024-01-26,736,,105331-IT,1294.3,2024,2024-01,North Harford,Maryland,Shruti Reddy,Northeast,Michael Jarvis,Acer Chromebook Spin 713,120,120-lap,Technology & Accessories,Laptops,,,,,,,
2024-01-10,824,,105324-IT,1294.3,2024,2024-01,Atlantic City,New Jersey,Miami Vue,Northeast,Michael Jarvis,Lenovo IdeaPad Flex 5,120,120-lap,Technology & Accessories,Laptops,,,,,,,
2024-01-09,871,,105324-IT,1294.3,2024,2024-01,Old Saybrook,Connecticut,Ellen Lemon,East,Ana Jilani,Lenovo IdeaPad Flex 5,120,120-lap,Technology & Accessories,Laptops,,,,,,,
2024-01-13,736,,105331-IT,1294.3,2024,2024-01,North Harford,Maryland,Shruti Reddy,Northeast,Michael Jarvis,Acer Chromebook Spin 713,120,120-lap,Technology & Accessories,Laptops,,,,,,,
2024-01-08,733,,105324-IT,1294.3,2024,2024-01,Baltimore,Maryland,Shruti Reddy,Northeast,Michael Jarvis,Lenovo IdeaPad Flex 5,120,120-lap,Technology & Accessories,Laptops,,,,,,,
2024-01-23,819,,105331-IT,1294.3,2024,2024-01,Bar Harbor,Maine,Erbayne Middleton,Northeast,Michael Jarvis,Acer Chromebook Spin 713,120,120-lap,Technology & Accessories,Laptops,,,,,,,
2024-01-07,736,,105331-IT,1294.3,2024,2024-01,North Harford,Maryland,Shruti Reddy,Northeast,Michael Jarvis,Acer Chromebook Spin 713,120,120-lap,Technology & Accessories,Laptops,,,,,,,
2024-01-19,853,202.0,105324-IT,1294.3,2024,2024-01,Greenville,South Carolina,Len Jensen,South,Andy Gisselquist,Lenovo IdeaPad Flex 5,120,120-lap,Technology & Accessories,Laptops,202.0,2023-10-07,14:35:40,Scooter,scooter@muppetstudios.com,212-555-1307,N
2024-01-08,737,,105324-IT,1294.3,2024,2024-01,Parkville,Maryland,Shruti Reddy,Northeast,Michael Jarvis,Lenovo IdeaPad Flex 5,120,120-lap,Technology & Accessories,Laptops,,,,,,,
2024-01-31,823,,105324-IT,1294.3,2024,2024-01,South Portland,Maine,Erbayne Middleton,Northeast,Michael Jarvis,Lenovo IdeaPad Flex 5,120,120-lap,Technology & Accessories,Laptops,,,,,,,
2024-01-20,828,,105324-IT,1294.3,2024,2024-01,East Orange,New Jersey,Miami Vue,Northeast,Michael Jarvis,Lenovo IdeaPad Flex 5,120,120-lap,Technology & Accessories,Laptops,,,,,,,
2024-01-29,736,,105331-IT,1294.3,2024,2024-01,North Harford,Maryland,Shruti Reddy,Northeast,Michael Jarvis,Acer Chromebook Spin 713,120,120-lap,Technology & Accessories,Laptops,,,,,,,
2024-01-03,710,148.0,105324-IT,1294.3,2024,2024-01,Lafayette,Colorado,Jim Heck,West,Cassie Chambers,Lenovo IdeaPad Flex 5,120,120-lap,Technology & Accessories,Laptops,148.0,2023-04-04,15:45:40,Potsie W.,potsie@arnoldsdrivein.diner,414-555-9803,N
2024-01-20,736,,105331-IT,1294.3,2024,2024-01,North Harford,Maryland,Shruti Reddy,Northeast,Michael Jarvis,Acer Chromebook Spin 713,120,120-lap,Technology & Accessories,Laptops,,,,,,,
2024-01-10,736,380.0,105324-IT,1294.3,2024,2024-01,North Harford,Maryland,Shruti Reddy,Northeast,Michael Jarvis,Lenovo IdeaPad Flex 5,120,120-lap,Technology & Accessories,Laptops,380.0,2023-02-05,09:40:35,Abbey Bartlet,abbey@westwing.gov,202-555-1809,N
2024-01-03,730,,105331-IT,1294.3,2024,2024-01,Boston,Massachusetts,Bo Heap,Northeast,Michael Jarvis,Acer Chromebook Spin 713,120,120-lap,Technology & Accessories,Laptops,,,,,,,
2024-01-03,703,,105324-IT,1294.3,2024,2024-01,Boulder,Colorado,Jim Heck,West,Cassie Chambers,Lenovo IdeaPad Flex 5,120,120-lap,Technology & Accessories,Laptops,,,,,,,
2024-01-08,712,,105331-IT,1294.3,2024,2024-01,Loveland,Colorado,Jim Heck,West,Cassie Chambers,Acer Chromebook Spin 713,120,120-lap,Technology & Accessories,Laptops,,,,,,,
2024-01-15,851,,105331-IT,1294.3,2024,2024-01,Queens,New York,See Ellefson,East,Ana Jilani,Acer Chromebook Spin 713,120,120-lap,Technology & Accessories,Laptops,,,,,,,
2024-01-24,710,,105331-IT,1294.3,2024,2024-01,Lafayette,Colorado,Jim Heck,West,Cassie Chambers,Acer Chromebook Spin 713,120,120-lap,Technology & Accessories,Laptops,,,,,,,
2024-01-15,710,,105324-IT,1294.3,2024,2024-01,Lafayette,Colorado,Jim Heck,West,Cassie Chambers,Lenovo IdeaPad Flex 5,120,120-lap,Technology & Accessories,Laptops,,,,,,,
2024-01-25,716,,105324-IT,1294.3,2024,2024-01,Sedalia,Colorado,Jim Heck,West,Cassie Chambers,Lenovo IdeaPad Flex 5,120,120-lap,Technology & Accessories,Laptops,,,,,,,
2024-01-25,820,,105331-IT,1294.3,2024,2024-01,Kennebunkport,Maine,Erbayne Middleton,Northeast,Michael Jarvis,Acer Chromebook Spin 713,120,120-lap,Technology & Accessories,Laptops,,,,,,,
2024-01-26,909,,105331-IT,1294.3,2024,2024-01,Desoto,Texas,"Jeff ""Howdy"" Richards",South,Andy Gisselquist,Acer Chromebook Spin 713,120,120-lap,Technology & Accessories,Laptops,,,,,,,
2024-01-18,709,,105324-IT,1294.3,2024,2024-01,Greeley,Colorado,Jim Heck,West,Cassie Chambers,Lenovo IdeaPad Flex 5,120,120-lap,Technology & Accessories,Laptops,,,,,,,
2024-01-21,736,,105324-IT,1294.3,2024,2024-01,North Harford,Maryland,Shruti Reddy,Northeast,Michael Jarvis,Lenovo IdeaPad Flex 5,120,120-lap,Technology & Accessories,Laptops,,,,,,,
2024-01-30,829,,105331-IT,1294.3,2024,2024-01,Hackensack,New Jersey,Miami Vue,Northeast,Michael Jarvis,Acer Chromebook Spin 713,120,120-lap,Technology & Accessories,Laptops,,,,,,,
2024-01-24,903,,105333-IT,1292.0,2024,2024-01,Bacliff,Texas,"Jeff ""Howdy"" Richards",South,Andy Gisselquist,ASUS VivoBook S15,120,120-lap,Technology & Accessories,Laptops,,,,,,,
2024-01-29,734,,105333-IT,1292.0,2024,2024-01,Germantown,Maryland,Shruti Reddy,Northeast,Michael Jarvis,ASUS VivoBook S15,120,120-lap,Technology & Accessories,Laptops,,,,,,,
2024-01-21,806,,105333-IT,1292.0,2024,2024-01,Holyoke,Massachusetts,Bo Heap,Northeast,Michael Jarvis,ASUS VivoBook S15,120,120-lap,Technology & Accessories,Laptops,,,,,,,
2024-01-05,847,,105333-IT,1292.0,2024,2024-01,Rochester,New York,See Ellefson,East,Ana Jilani,ASUS VivoBook S15,120,120-lap,Technology & Accessories,Laptops,,,,,,,
2024-01-10,804,,105333-IT,1292.0,2024,2024-01,Haverhill,Massachusetts,Bo Heap,Northeast,Michael Jarvis,ASUS VivoBook S15,120,120-lap,Technology & Accessories,Laptops,,,,,,,
2024-01-26,817,,105333-IT,1292.0,2024,2024-01,Worcester,Massachusetts,Bo Heap,Northeast,Michael Jarvis,ASUS VivoBook S15,120,120-lap,Technology & Accessories,Laptops,,,,,,,
2024-01-06,839,,105333-IT,1292.0,2024,2024-01,Vineland,New Jersey,Miami Vue,Northeast,Michael Jarvis,ASUS VivoBook S15,120,120-lap,Technology & Accessories,Laptops,,,,,,,
2024-01-15,721,,105333-IT,1292.0,2024,2024-01,Jacksonville,Florida,Lana Ilana,South,Andy Gisselquist,ASUS VivoBook S15,120,120-lap,Technology & Accessories,Laptops,,,,,,,
2024-01-05,808,,105333-IT,1292.0,2024,2024-01,Lowell,Massachusetts,Bo Heap,Northeast,Michael Jarvis,ASUS VivoBook S15,120,120-lap,Technology & Accessories,Laptops,,,,,,,
2024-01-05,736,,105333-IT,1292.0,2024,2024-01,North Harford,Maryland,Shruti Reddy,Northeast,Michael Jarvis,ASUS VivoBook S15,120,120-lap,Technology & Accessories,Laptops,,,,,,,
2024-01-13,850,,105333-IT,1292.0,2024,2024-01,New York,New York,See Ellefson,East,Ana Jilani,ASUS VivoBook S15,120,120-lap,Technology & Accessories,Laptops,,,,,,,
2024-01-15,729,,105333-IT,1292.0,2024,2024-01,Tampa,Florida,Lana Ilana,South,Andy Gisselquist,ASUS VivoBook S15,120,120-lap,Technology & Accessories,Laptops,,,,,,,
2024-01-19,830,,105333-IT,1292.0,2024,2024-01,Hoboken,New Jersey,Miami Vue,Northeast,Michael Jarvis,ASUS VivoBook S15,120,120-lap,Technology & Accessories,Laptops,,,,,,,
2024-01-07,813,,105333-IT,1292.0,2024,2024-01,Pittsfield,Massachusetts,Bo Heap,Northeast,Michael Jarvis,ASUS VivoBook S15,120,120-lap,Technology & Accessories,Laptops,,,,,,,
2024-01-04,736,,105340-IT,1291.71,2024,2024-01,North Harford,Maryland,Shruti Reddy,Northeast,Michael Jarvis,Chromebook Pixelbook Go,120,120-lap,Technology & Accessories,Laptops,,,,,,,
2024-01-18,721,,105340-IT,1291.71,2024,2024-01,Jacksonville,Florida,Lana Ilana,South,Andy Gisselquist,Chromebook Pixelbook Go,120,120-lap,Technology & Accessories,Laptops,,,,,,,
2024-01-16,865,,105340-IT,1291.71,2024,2024-01,Bridgeport,Connecticut,Ellen Lemon,East,Ana Jilani,Chromebook Pixelbook Go,120,120-lap,Technology & Accessories,Laptops,,,,,,,
2024-01-25,815,,105340-IT,1291.71,2024,2024-01,Quincy,Massachusetts,Bo Heap,Northeast,Michael Jarvis,Chromebook Pixelbook Go,120,120-lap,Technology & Accessories,Laptops,,,,,,,
2024-01-28,722,,105340-IT,1291.71,2024,2024-01,Key West,Florida,Lana Ilana,South,Andy Gisselquist,Chromebook Pixelbook Go,120,120-lap,Technology & Accessories,Laptops,,,,,,,
2024-01-04,705,,105340-IT,1291.71,2024,2024-01,Denver,Colorado,Jim Heck,West,Cassie Chambers,Chromebook Pixelbook Go,120,120-lap,Technology & Accessories,Laptops,,,,,,,
2024-01-22,736,,105340-IT,1291.71,2024,2024-01,North Harford,Maryland,Shruti Reddy,Northeast,Michael Jarvis,Chromebook Pixelbook Go,120,120-lap,Technology & Accessories,Laptops,,,,,,,
2024-01-22,728,87.0,105340-IT,1291.71,2024,2024-01,Tallahassee,Florida,Lana Ilana,South,Andy Gisselquist,Chromebook Pixelbook Go,120,120-lap,Technology & Accessories,Laptops,87.0,2023-04-18,14:05:35,Grace Adler,grace@willandgrace.nyc,212-555-9202,N
