Transaction_Date,Store_ID,RewardsID,Prod_Num,Sale_Amount,Month,Store_Location,State,Territory_Manager,Region,Region_Director,Product,CategoryID,SubcategoryID,Category,cust_id,date,time,name,email,phone,sms_opt_out
2022-01-01,828,,105437-T,187.25,2022-01,East Orange,New Jersey,Miami Vue,Northeast,Michael Jarvis,Data Structures and Algorithms,100,100-eng,Textbooks,,,,,,,
2022-01-01,832,,105438-A,28.92,2022-01,Montclair,New Jersey,Miami Vue,Northeast,Michael Jarvis,Black Drawing Paper Pad (8.5x11 inches),115,115-ske,Art Supplies,,,,,,,
2022-01-01,833,,105439-M,48.0,2022-01,Morristown,New Jersey,Miami Vue,Northeast,Michael Jarvis,LTCA Year Up Bluetooth Speaker (Portable),130,130-tec,Apparel and Merchandise,,,,,,,
2022-01-01,833,,105440-M,57.7,2022-01,Morristown,New Jersey,Miami Vue,Northeast,Michael Jarvis,LTCA Year Up Full-Zip Hoodie (Charcoal Gray),130,130-clo,Apparel and Merchandise,,,,,,,
2022-01-01,834,,105441-S,7.85,2022-01,New Brunswick,New Jersey,Miami Vue,Northeast,Michael Jarvis,"Bic Cristal Ballpoint Pens (Black, Pack of 10)",110,110-wri,Stationery and Supplies,,,,,,,
2022-01-01,835,,105272-IT,312.7,2022-01,Newark,New Jersey,Miami Vue,Northeast,Michael Jarvis,Java Development Kit (JDK),120,120-sof,Technology & Accessories,,,,,,,
2022-01-01,835,,105442-A,63.7,2022-01,Newark,New Jersey,Miami Vue,Northeast,Michael Jarvis,"Fabriano Watercolor Paper (12-Sheet Block, Cold Pressed)",115,115-ske,Art Supplies,,,,,,,
2022-01-01,835,,105443-M,9.09,2022-01,Newark,New Jersey,Miami Vue,Northeast,Michael Jarvis,LTCA Year Up Coffee Tumbler (Stainless Steel),130,130-acc,Apparel and Merchandise,,,,,,,
2022-01-01,835,,105352-M,47.61,2022-01,Newark,New Jersey,Miami Vue,Northeast,Michael Jarvis,"LTCA Year Up Power Bank (10,000mAh)",130,130-tec,Apparel and Merchandise,,,,,,,
2022-01-01,835,,105421-S,9.95,2022-01,Newark,New Jersey,Miami Vue,Northeast,Michael Jarvis,Uni-ball Vision Elite Rollerball Pens (Blue),110,110-wri,Stationery and Supplies,,,,,,,
2022-01-01,836,,105444-S,2.4,2022-01,Passaic,New Jersey,Miami Vue,Northeast,Michael Jarvis,Crayola Colored Pencils (Pack of 24),110,110-art,Stationery and Supplies,,,,,,,
2022-01-01,838,,105445-T,178.6,2022-01,Trenton,New Jersey,Miami Vue,Northeast,Michael Jarvis,Calculus I,100,100-mat,Textbooks,,,,,,,
2022-01-02,818,,105517-S,7.85,2022-01,Bangor,Maine,Erbayne Middleton,Northeast,Michael Jarvis,Ticonderoga No,110,110-pen,Stationery and Supplies,,,,,,,
2022-01-02,819,,105313-IT,68.88,2022-01,Bar Harbor,Maine,Erbayne Middleton,Northeast,Michael Jarvis,Logitech MX Master 3S Mouse,120,120-ext,Technology & Accessories,,,,,,,
2022-01-02,820,,105463-IT,265.07,2022-01,Kennebunkport,Maine,Erbayne Middleton,Northeast,Michael Jarvis,SPSS Statistics for Students,120,120-sof,Technology & Accessories,,,,,,,
2022-01-02,821,,105518-M,20.36,2022-01,Lewiston,Maine,Erbayne Middleton,Northeast,Michael Jarvis,LTCA Year Up Flat-Brim Hat (White),130,130-hat,Apparel and Merchandise,,,,,,,
2022-01-02,822,,105519-A,44.5,2022-01,Orono,Maine,Erbayne Middleton,Northeast,Michael Jarvis,"Field Sketch Easel (Aluminum, Portable)",115,115-eas,Art Supplies,,,,,,,
2022-01-02,823,,105439-M,48.0,2022-01,South Portland,Maine,Erbayne Middleton,Northeast,Michael Jarvis,LTCA Year Up Bluetooth Speaker (Portable),130,130-tec,Apparel and Merchandise,,,,,,,
2022-01-02,824,,105520-S,10.1,2022-01,Atlantic City,New Jersey,Miami Vue,Northeast,Michael Jarvis,Canson XL Mixed Media Sketchbook (9x12 inches),110,110-art,Stationery and Supplies,,,,,,,
2022-01-02,825,,105382-T,67.85,2022-01,Bayonne,New Jersey,Miami Vue,Northeast,Michael Jarvis,LSAT Logical Reasoning Practice,100,100-exa,Textbooks,,,,,,,
2022-01-02,828,,105312-IT,68.88,2022-01,East Orange,New Jersey,Miami Vue,Northeast,Michael Jarvis,Apple Magic Keyboard,120,120-ext,Technology & Accessories,,,,,,,
2022-01-02,828,,105348-IT,29.81,2022-01,East Orange,New Jersey,Miami Vue,Northeast,Michael Jarvis,HP 65W Slim Charger,120,120-cha,Technology & Accessories,,,,,,,
2022-01-02,829,,105521-M,24.2,2022-01,Hackensack,New Jersey,Miami Vue,Northeast,Michael Jarvis,LTCA Year Up Passport Holder (Leather),130,130-acc,Apparel and Merchandise,,,,,,,
2022-01-02,830,,105461-IT,132.9,2022-01,Hoboken,New Jersey,Miami Vue,Northeast,Michael Jarvis,Microsoft Surface Headphones 2,120,120-hea,Technology & Accessories,,,,,,,
2022-01-02,830,,105522-A,7.0,2022-01,Hoboken,New Jersey,Miami Vue,Northeast,Michael Jarvis,Crayola Washable Watercolors (Set of 16),115,115-kid,Art Supplies,,,,,,,
2022-01-02,832,,105523-M,12.15,2022-01,Montclair,New Jersey,Miami Vue,Northeast,Michael Jarvis,LTCA Year Up Mouse Pad (Blue),130,130-off,Apparel and Merchandise,,,,,,,
2022-01-02,833,,105389-S,12.4,2022-01,Morristown,New Jersey,Miami Vue,Northeast,Michael Jarvis,Calculator Cover Case,110,110-mis,Stationery and Supplies,,,,,,,
2022-01-02,833,,105524-M,44.0,2022-01,Morristown,New Jersey,Miami Vue,Northeast,Michael Jarvis,LTCA Year Up Classic Cotton T-Shirt (Navy Blue),130,130-clo,Apparel and Merchandise,,,,,,,
2022-01-02,835,515.0,105519-A,44.5,2022-01,Newark,New Jersey,Miami Vue,Northeast,Michael Jarvis,"Field Sketch Easel (Aluminum, Portable)",115,115-eas,Art Supplies,515.0,2023-09-19,21:40:00,Isabella G.,isabella@danvillekids.com,555-555-3204,Y
2022-01-02,835,,105384-A,23.44,2022-01,Newark,New Jersey,Miami Vue,Northeast,Michael Jarvis,Silver Brush Limited Ruby Satin Brushes (Set of 6),115,115-pai,Art Supplies,,,,,,,
2022-01-02,836,,105282-IT,237.28,2022-01,Passaic,New Jersey,Miami Vue,Northeast,Michael Jarvis,Microsoft Office 365,120,120-sof,Technology & Accessories,,,,,,,
2022-01-02,836,214.0,105525-T,204.58,2022-01,Passaic,New Jersey,Miami Vue,Northeast,Michael Jarvis,Applied Linguistics,100,100-lan,Textbooks,214.0,2023-12-17,21:35:15,Nicky B.,nicky@banksresidence.la,310-555-1409,N
2022-01-02,836,,105421-S,9.95,2022-01,Passaic,New Jersey,Miami Vue,Northeast,Michael Jarvis,Uni-ball Vision Elite Rollerball Pens (Blue),110,110-wri,Stationery and Supplies,,,,,,,
2022-01-03,818,,105598-T,206.16,2022-01,Bangor,Maine,Erbayne Middleton,Northeast,Michael Jarvis,Introduction to Psychology,100,100-soc,Textbooks,,,,,,,
2022-01-03,818,,105358-A,14.0,2022-01,Bangor,Maine,Erbayne Middleton,Northeast,Michael Jarvis,Play-Doh Modeling Compound (Pack of 10),115,115-kid,Art Supplies,,,,,,,
2022-01-03,820,,105457-IT,29.81,2022-01,Kennebunkport,Maine,Erbayne Middleton,Northeast,Michael Jarvis,Anker PowerPort III 65W Pod,120,120-cha,Technology & Accessories,,,,,,,
2022-01-03,821,,105570-M,36.15,2022-01,Lewiston,Maine,Erbayne Middleton,Northeast,Michael Jarvis,LTCA Year Up Gym Duffel Bag (Navy Blue),130,130-acc,Apparel and Merchandise,,,,,,,
2022-01-03,823,,105599-S,8.36,2022-01,South Portland,Maine,Erbayne Middleton,Northeast,Michael Jarvis,UHU Stic Glue Stick (Pack of 3),110,110-adh,Stationery and Supplies,,,,,,,
2022-01-03,824,67.0,105375-S,6.85,2022-01,Atlantic City,New Jersey,Miami Vue,Northeast,Michael Jarvis,Paper Mate Flair Felt Tip Pens (Assorted Colors),110,110-wri,Stationery and Supplies,67.0,2023-03-27,12:45:25,Britta P.,britta@greendale.edu,303-555-9002,N
2022-01-03,824,,105600-S,9.95,2022-01,Atlantic City,New Jersey,Miami Vue,Northeast,Michael Jarvis,Uni-ball Vision Elite Rollerball Pens (Black),110,110-wri,Stationery and Supplies,,,,,,,
2022-01-03,825,,105601-M,112.0,2022-01,Bayonne,New Jersey,Miami Vue,Northeast,Michael Jarvis,LTCA Year Up Noise-Canceling Headphones,130,130-tec,Apparel and Merchandise,,,,,,,
2022-01-03,828,,105602-S,8.45,2022-01,East Orange,New Jersey,Miami Vue,Northeast,Michael Jarvis,Fiskars Softgrip Craft Scissors (5-inch),110,110-des,Stationery and Supplies,,,,,,,
2022-01-03,830,,105328-IT,1250.96,2022-01,Hoboken,New Jersey,Miami Vue,Northeast,Michael Jarvis,HP Envy 15,120,120-lap,Technology & Accessories,,,,,,,
2022-01-03,830,,105423-M,40.55,2022-01,Hoboken,New Jersey,Miami Vue,Northeast,Michael Jarvis,"LTCA Year Up Coasters (Set of 4, Cork)",130,130-hom,Apparel and Merchandise,,,,,,,
2022-01-03,830,,105603-T,178.8,2022-01,Hoboken,New Jersey,Miami Vue,Northeast,Michael Jarvis,Shakespeares Works,100,100-hum,Textbooks,,,,,,,
2022-01-03,831,,105348-IT,29.81,2022-01,Jersey City,New Jersey,Miami Vue,Northeast,Michael Jarvis,HP 65W Slim Charger,120,120-cha,Technology & Accessories,,,,,,,
2022-01-03,832,,105541-IT,68.88,2022-01,Montclair,New Jersey,Miami Vue,Northeast,Michael Jarvis,Microsoft Sculpt Ergonomic Keyboard,120,120-ext,Technology & Accessories,,,,,,,
2022-01-03,832,,105604-T,122.21,2022-01,Montclair,New Jersey,Miami Vue,Northeast,Michael Jarvis,Pharmacology: A Comprehensive Guide,100,100-hea,Textbooks,,,,,,,
2022-01-03,834,,105276-IT,281.43,2022-01,New Brunswick,New Jersey,Miami Vue,Northeast,Michael Jarvis,Final Draft 12,120,120-sof,Technology & Accessories,,,,,,,
2022-01-03,834,,105397-S,5.24,2022-01,New Brunswick,New Jersey,Miami Vue,Northeast,Michael Jarvis,Five Star Flex Hybrid NoteBinder,110,110-bin,Stationery and Supplies,,,,,,,
2022-01-03,835,,105409-A,36.15,2022-01,Newark,New Jersey,Miami Vue,Northeast,Michael Jarvis,Reeves Acrylic Paints (Set of 24),115,115-pai,Art Supplies,,,,,,,
2022-01-03,836,,105605-M,24.28,2022-01,Passaic,New Jersey,Miami Vue,Northeast,Michael Jarvis,LTCA Year Up Gym Towel,130,130-spo,Apparel and Merchandise,,,,,,,
2022-01-03,838,,105256-IT,752.82,2022-01,Trenton,New Jersey,Miami Vue,Northeast,Michael Jarvis,ASUS Vivobook 13 Slate OLED,120,120-tab,Technology & Accessories,,,,,,,
2022-01-03,838,284.0,105585-B,74.28,2022-01,Trenton,New Jersey,Miami Vue,Northeast,Michael Jarvis,TOEFL Prep Book 2024,125,125-stu,Books (General),284.0,2024-01-31,07:45:15,Red Scare,redscare@keenecounty.police,918-555-2109,N
2022-01-04,819,,105513-A,57.12,2022-01,Bar Harbor,Maine,Erbayne Middleton,Northeast,Michael Jarvis,Winsor & Newton Watercolor Markers (Set of 6),115,115-dra,Art Supplies,,,,,,,
2022-01-04,822,119.0,105649-A,57.12,2022-01,Orono,Maine,Erbayne Middleton,Northeast,Michael Jarvis,Sennelier Soft Pastels (Set of 24),115,115-dra,Art Supplies,119.0,2023-05-19,19:15:45,King Friday,kingfriday@neighborhood.org,412-555-9504,N
2022-01-04,825,,105280-IT,254.9,2022-01,Bayonne,New Jersey,Miami Vue,Northeast,Michael Jarvis,MATLAB Student Edition,120,120-sof,Technology & Accessories,,,,,,,
2022-01-04,826,,105468-S,17.7,2022-01,Cape May,New Jersey,Miami Vue,Northeast,Michael Jarvis,"Smead Expanding File Folder (13-Pocket, Letter Size)",110,110-bin,Stationery and Supplies,,,,,,,
2022-01-04,827,,105278-IT,272.24,2022-01,Clifton,New Jersey,Miami Vue,Northeast,Michael Jarvis,Tableau Desktop,120,120-sof,Technology & Accessories,,,,,,,
2022-01-04,828,163.0,105440-M,57.7,2022-01,East Orange,New Jersey,Miami Vue,Northeast,Michael Jarvis,LTCA Year Up Full-Zip Hoodie (Charcoal Gray),130,130-clo,Apparel and Merchandise,163.0,2023-04-13,19:05:00,Commissioner Halperin,halperin@lapd.gov,213-555-9908,N
2022-01-04,828,,105570-M,36.15,2022-01,East Orange,New Jersey,Miami Vue,Northeast,Michael Jarvis,LTCA Year Up Gym Duffel Bag (Navy Blue),130,130-acc,Apparel and Merchandise,,,,,,,
2022-01-04,828,,105588-S,9.45,2022-01,East Orange,New Jersey,Miami Vue,Northeast,Michael Jarvis,Pilot G2 Retractable Gel Pens (Black),110,110-wri,Stationery and Supplies,,,,,,,
2022-01-04,829,,105622-T,52.9,2022-01,Hackensack,New Jersey,Miami Vue,Northeast,Michael Jarvis,GMAT Study Guide,100,100-exa,Textbooks,,,,,,,
2022-01-04,831,,105650-M,65.5,2022-01,Jersey City,New Jersey,Miami Vue,Northeast,Michael Jarvis,LTCA Year Up Pullover Hoodie (Gray),130,130-clo,Apparel and Merchandise,,,,,,,
2022-01-04,832,,105636-S,12.32,2022-01,Montclair,New Jersey,Miami Vue,Northeast,Michael Jarvis,Gorilla Glue Super Glue Gel,110,110-adh,Stationery and Supplies,,,,,,,
2022-01-04,833,,105267-IT,355.92,2022-01,Morristown,New Jersey,Miami Vue,Northeast,Michael Jarvis,GitHub Pro,120,120-sof,Technology & Accessories,,,,,,,
2022-01-04,834,,105622-T,52.9,2022-01,New Brunswick,New Jersey,Miami Vue,Northeast,Michael Jarvis,GMAT Study Guide,100,100-exa,Textbooks,,,,,,,
2022-01-04,836,,105651-S,9.09,2022-01,Passaic,New Jersey,Miami Vue,Northeast,Michael Jarvis,Field Notes Original Kraft Memo Books (3-Pack),110,110-not,Stationery and Supplies,,,,,,,
2022-01-04,836,,105511-M,24.33,2022-01,Passaic,New Jersey,Miami Vue,Northeast,Michael Jarvis,LTCA Year Up Throw Pillow (Navy and Gold Logo),130,130-hom,Apparel and Merchandise,,,,,,,
2022-01-04,838,166.0,105331-IT,1294.3,2022-01,Trenton,New Jersey,Miami Vue,Northeast,Michael Jarvis,Acer Chromebook Spin 713,120,120-lap,Technology & Accessories,166.0,2023-02-18,09:20:25,Earnest Marks,earn@paperboi.atl,404-555-1001,N
2022-01-05,818,,105691-M,39.75,2022-01,Bangor,Maine,Erbayne Middleton,Northeast,Michael Jarvis,LTCA Year Up Desk Clock,130,130-hom,Apparel and Merchandise,,,,,,,
2022-01-05,819,,105287-IT,126.18,2022-01,Bar Harbor,Maine,Erbayne Middleton,Northeast,Michael Jarvis,SteelSeries Arctis 7+,120,120-hea,Technology & Accessories,,,,,,,
2022-01-05,819,,105614-A,20.36,2022-01,Bar Harbor,Maine,Erbayne Middleton,Northeast,Michael Jarvis,Bristol Smooth Paper Pad (9x12 inches),115,115-ske,Art Supplies,,,,,,,
2022-01-05,820,,105619-T,144.0,2022-01,Kennebunkport,Maine,Erbayne Middleton,Northeast,Michael Jarvis,Entrepreneurship and Innovation,100,100-bus,Textbooks,,,,,,,
2022-01-05,822,,105268-IT,346.68,2022-01,Orono,Maine,Erbayne Middleton,Northeast,Michael Jarvis,Sketch App License,120,120-sof,Technology & Accessories,,,,,,,
2022-01-05,822,,105692-S,10.16,2022-01,Orono,Maine,Erbayne Middleton,Northeast,Michael Jarvis,Pentel Hi-Polymer Block Erasers (Pack of 3),110,110-pen,Stationery and Supplies,,,,,,,
2022-01-05,823,,105682-A,29.3,2022-01,South Portland,Maine,Erbayne Middleton,Northeast,Michael Jarvis,Wax Carving Tools (Set of 10),115,115-scu,Art Supplies,,,,,,,
2022-01-05,825,,105598-T,206.16,2022-01,Bayonne,New Jersey,Miami Vue,Northeast,Michael Jarvis,Introduction to Psychology,100,100-soc,Textbooks,,,,,,,
2022-01-05,825,,105434-S,2.88,2022-01,Bayonne,New Jersey,Miami Vue,Northeast,Michael Jarvis,Pentel Twist-Erase Mechanical Pencils (0,110,110-pen,Stationery and Supplies,,,,,,,
2022-01-05,825,,105577-T,215.77,2022-01,Bayonne,New Jersey,Miami Vue,Northeast,Michael Jarvis,Probability and Statistics,100,100-mat,Textbooks,,,,,,,
2022-01-05,826,,105273-IT,303.52,2022-01,Cape May,New Jersey,Miami Vue,Northeast,Michael Jarvis,Python Programming Language Installer,120,120-sof,Technology & Accessories,,,,,,,
2022-01-05,827,,105302-IT,77.36,2022-01,Clifton,New Jersey,Miami Vue,Northeast,Michael Jarvis,Sony ECM-W2BT Wireless Microphone,120,120-ext,Technology & Accessories,,,,,,,
2022-01-05,828,,105447-M,50.96,2022-01,East Orange,New Jersey,Miami Vue,Northeast,Michael Jarvis,LTCA Year Up Bomber Jacket (Black),130,130-clo,Apparel and Merchandise,,,,,,,
2022-01-05,828,,105530-B,20.36,2022-01,East Orange,New Jersey,Miami Vue,Northeast,Michael Jarvis,Where the Crawdads Sing,125,125-fic,Books (General),,,,,,,
2022-01-05,830,,105257-IT,715.0,2022-01,Hoboken,New Jersey,Miami Vue,Northeast,Michael Jarvis,Samsung Galaxy Tab S9 Ultra,120,120-tab,Technology & Accessories,,,,,,,
2022-01-05,831,,105252-IT,815.0,2022-01,Jersey City,New Jersey,Miami Vue,Northeast,Michael Jarvis,Microsoft Surface Pro 9,120,120-tab,Technology & Accessories,,,,,,,
2022-01-05,831,,105644-A,16.6,2022-01,Jersey City,New Jersey,Miami Vue,Northeast,Michael Jarvis,"Wire Armature for Sculpting (16 Gauge, 10 feet)",115,115-scu,Art Supplies,,,,,,,
2022-01-05,835,,105297-IT,107.06,2022-01,Newark,New Jersey,Miami Vue,Northeast,Michael Jarvis,Beats Studio Buds,120,120-hea,Technology & Accessories,,,,,,,
2022-01-05,835,,105538-IT,76.36,2022-01,Newark,New Jersey,Miami Vue,Northeast,Michael Jarvis,Kensington SD5700T Docking Station,120,120-ext,Technology & Accessories,,,,,,,
2022-01-05,835,,105626-S,6.02,2022-01,Newark,New Jersey,Miami Vue,Northeast,Michael Jarvis,Dixon Oriole HB Pencils (Pack of 24),110,110-pen,Stationery and Supplies,,,,,,,
2022-01-05,836,,105363-M,19.48,2022-01,Passaic,New Jersey,Miami Vue,Northeast,Michael Jarvis,LTCA Year Up Wall Calendar,130,130-off,Apparel and Merchandise,,,,,,,
2022-01-05,836,,105572-B,24.28,2022-01,Passaic,New Jersey,Miami Vue,Northeast,Michael Jarvis,Mans Search for Meaning,125,125-non,Books (General),,,,,,,
2022-01-05,837,,105281-IT,238.56,2022-01,Paterson,New Jersey,Miami Vue,Northeast,Michael Jarvis,AutoDesk AutoCAD,120,120-sof,Technology & Accessories,,,,,,,
2022-01-05,838,,105288-IT,119.81,2022-01,Trenton,New Jersey,Miami Vue,Northeast,Michael Jarvis,HyperX Cloud II Wireless,120,120-hea,Technology & Accessories,,,,,,,
2022-01-05,838,,105384-A,23.44,2022-01,Trenton,New Jersey,Miami Vue,Northeast,Michael Jarvis,Silver Brush Limited Ruby Satin Brushes (Set of 6),115,115-pai,Art Supplies,,,,,,,
2022-01-05,839,,105425-M,66.0,2022-01,Vineland,New Jersey,Miami Vue,Northeast,Michael Jarvis,LTCA Year Up Full-Zip Hoodie (Black),130,130-clo,Apparel and Merchandise,,,,,,,
2022-01-06,821,,105723-S,6.52,2022-01,Lewiston,Maine,Erbayne Middleton,Northeast,Michael Jarvis,Electric Desktop Pencil Sharpener (Heavy Duty),110,110-des,Stationery and Supplies,,,,,,,
2022-01-06,823,468.0,105398-A,52.96,2022-01,South Portland,Maine,Erbayne Middleton,Northeast,Michael Jarvis,Gamblin 1980 Oil Color Set (8 Tubes),115,115-pai,Art Supplies,468.0,2024-05-03,16:05:45,Omar Little,omar@westbaltimore.net,410-555-2707,N
2022-01-06,823,,105447-M,50.96,2022-01,South Portland,Maine,Erbayne Middleton,Northeast,Michael Jarvis,LTCA Year Up Bomber Jacket (Black),130,130-clo,Apparel and Merchandise,,,,,,,
2022-01-06,825,,105612-B,74.28,2022-01,Bayonne,New Jersey,Miami Vue,Northeast,Michael Jarvis,GRE Math Review,125,125-stu,Books (General),,,,,,,
2022-01-06,827,,105281-IT,238.56,2022-01,Clifton,New Jersey,Miami Vue,Northeast,Michael Jarvis,AutoDesk AutoCAD,120,120-sof,Technology & Accessories,,,,,,,
2022-01-06,827,,105446-B,12.7,2022-01,Clifton,New Jersey,Miami Vue,Northeast,Michael Jarvis,The Omnivores Dilemma,125,125-non,Books (General),,,,,,,
2022-01-06,828,,105250-IT,837.28,2022-01,East Orange,New Jersey,Miami Vue,Northeast,Michael Jarvis,Realme Pad,120,120-tab,Technology & Accessories,,,,,,,
2022-01-06,828,,105724-T,191.95,2022-01,East Orange,New Jersey,Miami Vue,Northeast,Michael Jarvis,Ethics and Moral Reasoning,100,100-hum,Textbooks,,,,,,,
2022-01-06,830,,105454-M,14.0,2022-01,Hoboken,New Jersey,Miami Vue,Northeast,Michael Jarvis,LTCA Year Up USB Flash Drive (64GB),130,130-tec,Apparel and Merchandise,,,,,,,
2022-01-06,830,,105692-S,10.16,2022-01,Hoboken,New Jersey,Miami Vue,Northeast,Michael Jarvis,Pentel Hi-Polymer Block Erasers (Pack of 3),110,110-pen,Stationery and Supplies,,,,,,,
2022-01-06,830,,105532-A,51.96,2022-01,Hoboken,New Jersey,Miami Vue,Northeast,Michael Jarvis,Winsor & Newton Oil Paint Set (10 Tubes),115,115-pai,Art Supplies,,,,,,,
2022-01-06,831,,105655-M,61.14,2022-01,Jersey City,New Jersey,Miami Vue,Northeast,Michael Jarvis,LTCA Year Up Embroidered Baseball Cap (Navy Blue),130,130-hat,Apparel and Merchandise,,,,,,,
2022-01-06,833,,105694-S,7.85,2022-01,Morristown,New Jersey,Miami Vue,Northeast,Michael Jarvis,"Bic Cristal Ballpoint Pens (Blue, Pack of 10)",110,110-wri,Stationery and Supplies,,,,,,,
2022-01-06,834,,105628-M,24.28,2022-01,New Brunswick,New Jersey,Miami Vue,Northeast,Michael Jarvis,LTCA Year Up Stadium Blanket,130,130-spo,Apparel and Merchandise,,,,,,,
2022-01-06,834,85.0,105644-A,16.6,2022-01,New Brunswick,New Jersey,Miami Vue,Northeast,Michael Jarvis,"Wire Armature for Sculpting (16 Gauge, 10 feet)",115,115-scu,Art Supplies,85.0,2024-02-10,13:15:30,Dar Adal,dar@cia.gov,202-555-9110,N
2022-01-06,835,,105333-IT,1292.0,2022-01,Newark,New Jersey,Miami Vue,Northeast,Michael Jarvis,ASUS VivoBook S15,120,120-lap,Technology & Accessories,,,,,,,
2022-01-06,835,,105469-M,14.6,2022-01,Newark,New Jersey,Miami Vue,Northeast,Michael Jarvis,LTCA Year Up Candle (Vanilla Scented),130,130-hom,Apparel and Merchandise,,,,,,,
2022-01-06,835,,105485-T,205.8,2022-01,Newark,New Jersey,Miami Vue,Northeast,Michael Jarvis,Microeconomics: An Introduction,100,100-bus,Textbooks,,,,,,,
2022-01-06,836,,105594-T,144.4,2022-01,Passaic,New Jersey,Miami Vue,Northeast,Michael Jarvis,Human Resource Management,100,100-bus,Textbooks,,,,,,,
2022-01-06,836,140.0,105708-T,213.82,2022-01,Passaic,New Jersey,Miami Vue,Northeast,Michael Jarvis,Mental Health Nursing,100,100-hea,Textbooks,140.0,2023-07-23,08:20:25,Phyllis S.,phyllis@genoa.city,213-555-9705,Y
2022-01-06,836,,105375-S,6.85,2022-01,Passaic,New Jersey,Miami Vue,Northeast,Michael Jarvis,Paper Mate Flair Felt Tip Pens (Assorted Colors),110,110-wri,Stationery and Supplies,,,,,,,
2022-01-06,837,,105535-A,66.0,2022-01,Paterson,New Jersey,Miami Vue,Northeast,Michael Jarvis,Conte Crayons (Set of 12),115,115-dra,Art Supplies,,,,,,,
2022-01-06,837,,105435-A,18.0,2022-01,Paterson,New Jersey,Miami Vue,Northeast,Michael Jarvis,Plaster of Paris (5 lbs),115,115-scu,Art Supplies,,,,,,,
2022-01-06,838,,105450-T,226.79,2022-01,Trenton,New Jersey,Miami Vue,Northeast,Michael Jarvis,Social Policy and Public Welfare,100,100-soc,Textbooks,,,,,,,
2022-01-07,818,,105612-B,74.28,2022-01,Bangor,Maine,Erbayne Middleton,Northeast,Michael Jarvis,GRE Math Review,125,125-stu,Books (General),,,,,,,
2022-01-07,820,,105658-B,20.36,2022-01,Kennebunkport,Maine,Erbayne Middleton,Northeast,Michael Jarvis,The Lord of the Rings,125,125-fic,Books (General),,,,,,,
2022-01-07,821,,105538-IT,76.36,2022-01,Lewiston,Maine,Erbayne Middleton,Northeast,Michael Jarvis,Kensington SD5700T Docking Station,120,120-ext,Technology & Accessories,,,,,,,
2022-01-07,822,,105588-S,9.45,2022-01,Orono,Maine,Erbayne Middleton,Northeast,Michael Jarvis,Pilot G2 Retractable Gel Pens (Black),110,110-wri,Stationery and Supplies,,,,,,,
