State,RewardsID,name,email,Total_Customer_Revenue,Customer_Rank
Maine,1.0,Rachel,rachel@centralperk.coffee,651.5,96.0
Maine,483.0,Peggy Olson,peggy@sterlingcooper.com,643.25,97.0
Maine,406.0,Connor Roy,connor@waystarroyco.com,637.9000000000001,98.0
Maine,307.0,Angel,angel@sunnydale.high,634.8,99.0
Maine,319.0,River Tam,river@serenity.ship,626.51,100.0
Maine,2.0,R. Geller,rossg@centralperk.coffee,621.74,101.0
Maine,444.0,Charlotte York,charlotte@manhattan.nyc,601.44,102.0
Maine,93.0,Stan Walker,stan@willandgrace.nyc,599.48,103.0
Maine,4.0,Chandler Bing,chandlerb@centralperk.coffee,592.04,104.0
Maine,312.0,Malcolm Reynolds,mal@serenity.ship,586.54,105.0
Maine,264.0,Gina Cazador,gina@hollywoo.net,580.85,106.0
Maine,178.0,Pamela James,pam@wzhup.det,567.8,107.0
Maine,12.0,Jesse Pinkman,jesse@lospolloshermanos.biz,558.81,108.0
Maine,456.0,Mike Ehrmantraut,mike@lospolloshermanos.biz,558.31,109.0
Maine,150.0,Joanie C.,joanie@arnoldsdrivein.diner,556.91,110.0
Maine,432.0,Jerry Seinfeld,jerry@vandelayindustries.com,552.38,111.0
Maine,503.0,Patrick Star,patrick@bikinibottom.net,544.54,112.0
Maine,294.0,Tasha Yar,tasha@enterprise.starfleet,523.09,113.0
Maine,174.0,Cristian,cristian@paperboi.atl,464.68,114.0
Maine,311.0,Dawn Summers,dawn@sunnydale.high,464.26,115.0
Maine,109.0,Gene B.,gene@bobsburgers.rest,463.31,116.0
Maine,68.0,Abed Nadir,abed@greendale.edu,453.21,117.0
Maine,318.0,Simon Tam,simon@serenity.ship,450.33,118.0
Maine,225.0,April Kepner,april@seattlegrace.med,445.21999999999997,119.0
Maine,398.0,Big Daddy,bigdaddy@goldengirls.house,440.67,120.0
Maine,138.0,Jack Abbott,jack@genoa.city,440.45,121.0
Maine,187.0,Fitzgerald Grant,fitz@oliviapopeandassociates.com,436.56,122.0
Maine,326.0,Alex Krycek,krycek@fbi.gov,428.21999999999997,123.0
Maine,504.0,Squidward Tentacles,squidward@bikinibottom.net,422.5,124.0
Maine,194.0,Jake Ballard,jake@oliviapopeandassociates.com,416.12,125.0
Maine,405.0,Shiv Roy,shiv@waystarroyco.com,416.10999999999996,126.0
Maine,512.0,Phineas Flynn,phineas@danvillekids.com,415.04,127.0
Maine,426.0,Carla T.,carla@cheers.bar,414.29,128.0
Maine,241.0,Red Reznikov,red@litchfield.pen,414.03999999999996,129.0
Maine,213.0,Jazz,jazz@banksresidence.la,412.09000000000003,130.0
Maine,431.0,Coach,coach@cheers.bar,411.91999999999996,131.0
Maine,116.0,Fred Rogers,misterrogers@neighborhood.org,409.82,132.0
Maine,169.0,Vanessa K.,van@paperboi.atl,408.9,133.0
Maine,58.0,Tom H.,tom@pawnee.gov,408.56,134.0
Maine,106.0,Bob Belcher,bob@bobsburgers.rest,406.71,135.0
Maine,297.0,Kira Nerys,kira@ds9.starfleet,402.23,136.0
Maine,414.0,Cookie Monster,cookie@sesamestreet.org,400.4,137.0
Maine,330.0,The Lone Gunmen,lonegunmen@fbi.gov,397.74,138.0
Maine,245.0,Gloria Mendoza,gloria@litchfield.pen,393.56,139.0
Maine,393.0,Rose Nylund,rose@goldengirls.house,393.40999999999997,140.0
Maine,71.0,Shirley B.,shirley@greendale.edu,388.72,141.0
Maine,287.0,William Riker,riker@enterprise.starfleet,381.05,142.0
Maine,342.0,Rue Bennett,rue@easthighland.high,378.61,143.0
Maine,154.0,Al Delvecchio,al@arnoldsdrivein.diner,377.14000000000004,144.0
Maine,92.0,Elliot,elliot@willandgrace.nyc,375.76,145.0
Maine,332.0,Jack Shephard,jack@dharma.initiative,375.24,146.0
Maine,500.0,Jerry,jerry@ricardoproductions.tv,374.68,147.0
Maine,81.0,Jessica B.,jessica@cia.gov,371.99,148.0
Maine,269.0,Buster Bluth,buster@bluthcompany.biz,371.49,149.0
Maine,517.0,Perry the Platypus,agentp@danvillekids.com,370.37,150.0
Maine,409.0,Gerri Kellman,gerri@waystarroyco.com,363.56,151.0
Maine,98.0,Quinn M.,quinn@lawndale.high,363.35999999999996,152.0
Maine,268.0,Lindsay F.,lindsay@bluthcompany.biz,362.30000000000007,153.0
Maine,480.0,Junior Soprano,junior@northjersey.net,362.09000000000003,154.0
Maine,122.0,Henrietta Pussycat,meow@neighborhood.org,358.79999999999995,155.0
Maine,411.0,Frank Vernon,frank@waystarroyco.com,353.58,156.0
Maine,351.0,Cal Jacobs,cal@easthighland.high,349.97,157.0
Maine,410.0,Marcia Roy,marcia@waystarroyco.com,341.07,158.0
Maine,183.0,Mama Payne,mama@wzhup.det,339.84000000000003,159.0
Maine,171.0,Clark County,clark@paperboi.atl,338.12,160.0
Maine,423.0,Diane Chambers,diane@cheers.bar,324.46000000000004,161.0
Maine,62.0,Amy S.,amy@nypd99.com,323.77,162.0
Maine,173.0,Lucas,lucas@paperboi.atl,323.5,163.0
Maine,46.0,Kevin M.,kevin@dundermifflin.com,312.94,164.0
Maine,293.0,Wesley Crusher,wesley@enterprise.starfleet,312.02,165.0
Maine,118.0,Lady Aberlin,ladyaberlin@neighborhood.org,305.91999999999996,166.0
Maine,407.0,Tom Wambsgans,tom@waystarroyco.com,304.26,167.0
Maine,137.0,Nikki N.,nikki@genoa.city,303.72,168.0
Maine,198.0,Fozzie Bear,fozzie@muppetstudios.com,297.96,169.0
Maine,186.0,Olivia Pope,olivia@oliviapopeandassociates.com,296.6,170.0
Maine,507.0,Plankton,plankton@bikinibottom.net,295.23,171.0
Maine,188.0,Mellie Grant,mellie@oliviapopeandassociates.com,294.46,172.0
Maine,368.0,Xavier Thorpe,xavier@nevermore.academy,294.4,173.0
Maine,141.0,Sharon N.,sharon@genoa.city,287.22,174.0
Maine,215.0,Lisa W.,lisa@banksresidence.la,285.99,175.0
Maine,283.0,Joe Keene Jr.,keene@keenecounty.police,284.3,176.0
Maine,238.0,Suzanne Warren,crazyeyes@litchfield.pen,284.04,177.0
Maine,236.0,Piper Chapman,piper@litchfield.pen,283.47,178.0
Maine,24.0,Arya Stark,noface@westeros.kingdom,282.85,179.0
Maine,243.0,Dayanara Diaz,daya@litchfield.pen,282.17,180.0
Maine,457.0,Skyler White,skyler@lospolloshermanos.biz,279.48,181.0
Maine,65.0,Charles B.,charles@nypd99.com,276.57,182.0
Maine,408.0,Greg Hirsch,cousingreg@waystarroyco.com,275.09000000000003,183.0
Maine,135.0,Anna Devane,anna@generalhospital.med,274.21,184.0
Maine,22.0,Daenerys T.,dragonqueen@westeros.kingdom,273.76,185.0
Maine,64.0,Rosa D.,rosa@nypd99.com,271.08,186.0
Maine,454.0,Saul Goodman,saul@lospolloshermanos.biz,271.07,187.0
Maine,515.0,Isabella G.,isabella@danvillekids.com,269.64,188.0
Maine,474.0,Christopher Moltisanti,chrism@northjersey.net,269.48,189.0
Maine,378.0,Donna Moss,donna@westwing.gov,269.42999999999995,190.0
Maine,226.0,Dexter Morgan,dexter@miamimetro.gov,268.75,191.0
Maine,102.0,Jodie L.,jodie@lawndale.high,268.26,192.0
Maine,101.0,Brittany T.,brittany@lawndale.high,267.31,193.0
Maine,298.0,Odo,odo@ds9.starfleet,261.73,194.0
Maine,445.0,Samantha Jones,samantha@manhattan.nyc,259.7,195.0
Maine,493.0,Ricky Ricardo,ricky@ricardoproductions.tv,259.15,196.0
Maine,206.0,Will Smith,will@banksresidence.la,257.76,197.0
Maine,271.0,Maeby F.,maeby@bluthcompany.biz,257.12,198.0
Maine,412.0,Big Bird,bigbird@sesamestreet.org,254.95000000000002,199.0
Maine,452.0,Walter White,heisenberg@lospolloshermanos.biz,254.9,200.0
Maine,289.0,Geordi La Forge,geordi@enterprise.starfleet,253.95999999999998,201.0
Maine,299.0,Jadzia Dax,dax@ds9.starfleet,251.95,202.0
Maine,498.0,Marion Strong,marion@ricardoproductions.tv,250.84,203.0
Maine,112.0,Jimmy Pesto,jimmy@bobsburgers.rest,250.62,204.0
Maine,78.0,Saul B.,saul@cia.gov,250.20999999999998,205.0
Maine,327.0,John Doggett,doggett@fbi.gov,244.95,206.0
Maine,84.0,Fara S.,fara@cia.gov,243.29999999999998,207.0
Maine,511.0,Pearl Krabs,pearl@bikinibottom.net,239.4,208.0
Maine,204.0,Waldorf,waldorf@muppetstudios.com,238.47,209.0
Maine,509.0,Mrs. Puff,puff@bikinibottom.net,237.42,210.0
Maine,60.0,Andy Dwyer,andy@pawnee.gov,232.4,211.0
Maine,151.0,Howard C.,howard@arnoldsdrivein.diner,232.20000000000002,212.0
Maine,197.0,Miss Piggy,misspiggy@muppetstudios.com,231.2,213.0
Maine,221.0,Miranda Bailey,bailey@seattlegrace.med,230.7,214.0
Maine,510.0,Karen,karen@bikinibottom.net,229.25,215.0
Maine,391.0,Grizz,grizz@tgs.nbc,224.3,216.0
Maine,196.0,Kermit,kermit@muppetstudios.com,224.22,217.0
Maine,18.0,Marie S.,marie@lospolloshermanos.biz,223.2,218.0
Maine,123.0,Lady Elaine,ladyelaine@neighborhood.org,221.48,219.0
Maine,467.0,Avon Barksdale,avon@westbaltimore.net,220.99,220.0
Maine,374.0,Josh Lyman,josh@westwing.gov,219.3,221.0
Maine,385.0,Jenna Maroney,jenna@tgs.nbc,219.29,222.0
Maine,519.0,Buford,buford@danvillekids.com,215.73000000000002,223.0
Maine,126.0,Luke Spencer,luke@generalhospital.med,211.09,224.0
Maine,275.0,Ann Veal,her@bluthcompany.biz,207.96,225.0
Maine,472.0,Tony Soprano,tony@northjersey.net,206.16,226.0
Maine,232.0,James Doakes,doakes@miamimetro.gov,205.8,227.0
Maine,433.0,George Costanza,george@vandelayindustries.com,205.8,227.0
Maine,17.0,Mike E.,mike@lospolloshermanos.biz,202.5,228.0
Maine,55.0,Will B.,will@hawkins.ind,201.32999999999998,229.0
Maine,399.0,Harry Weston,harry@goldengirls.house,200.82,230.0
Maine,44.0,Dwight Schrute,dwight@dundermifflin.com,199.2,231.0
Maine,35.0,Maggie,maggie@springfield.power,197.4,232.0
Maine,468.0,Omar Little,omar@westbaltimore.net,197.2,233.0
Maine,469.0,Marlo Stanfield,marlo@westbaltimore.net,195.89,234.0
Maine,26.0,Cersei L.,queenregent@westeros.kingdom,195.8,235.0
Maine,161.0,Lieutenant Duffy,duffy@lapd.gov,192.52,236.0
Maine,403.0,Kendall Roy,kendall@waystarroyco.com,192.26,237.0
Maine,90.0,Rosario Salazar,rosario@willandgrace.nyc,189.0,238.0
Maine,443.0,Miranda Hobbes,miranda@manhattan.nyc,188.08,239.0
Maine,460.0,Hank Schrader,hank@lospolloshermanos.biz,187.44,240.0
Maine,344.0,Nate Jacobs,nate@easthighland.high,187.37,241.0
Maine,284.0,Red Scare,redscare@keenecounty.police,183.36,242.0
Maine,125.0,Handyman Negri,negri@neighborhood.org,182.12,243.0
Maine,267.0,Gob Bluth,gob@bluthcompany.biz,182.1,244.0
Maine,384.0,Tracy Jordan,tracy@tgs.nbc,180.67000000000002,245.0
Maine,191.0,Quinn Perkins,quinn@oliviapopeandassociates.com,177.11,246.0
Maine,274.0,George Bluth Sr.,george@bluthcompany.biz,176.36,247.0
Maine,136.0,Victor Newman,victor@genoa.city,173.72,248.0
Maine,446.0,Mr. Big,mrbig@manhattan.nyc,173.44,249.0
Maine,382.0,Liz Lemon,liz@tgs.nbc,173.14,250.0
Maine,429.0,Lilith S.,lilith@cheers.bar,172.05,251.0
Maine,258.0,Mr. Peanutbutter,mrpb@hollywoo.net,170.1,252.0
Maine,170.0,Tracy,tracy@paperboi.atl,169.45,253.0
Maine,375.0,C.J. Cregg,cj@westwing.gov,169.19,254.0
Maine,278.0,Wade Tillman,lookingglass@keenecounty.police,169.1,255.0
Maine,67.0,Britta P.,britta@greendale.edu,166.71,256.0
Maine,246.0,Eleanor Shellstrop,eleanor@thegoodplace.afterlife,166.57,257.0
Maine,190.0,Huck,huck@oliviapopeandassociates.com,165.5,258.0
Maine,388.0,Frank Rossitano,frank@tgs.nbc,163.94,259.0
Maine,107.0,Linda B.,linda@bobsburgers.rest,163.2,260.0
Maine,491.0,Harry Crane,harry@sterlingcooper.com,163.15,261.0
Maine,120.0,Daniel Tiger,daniel@neighborhood.org,162.4,262.0
Maine,108.0,Tina B.,tina@bobsburgers.rest,160.67000000000002,263.0
Maine,475.0,Paulie Gualtieri,paulie@northjersey.net,160.02,264.0
Maine,180.0,Cole Brown,cole@wzhup.det,159.95,265.0
Maine,324.0,Walter Skinner,skinner@fbi.gov,157.28,266.0
Maine,103.0,Mack M.,mack@lawndale.high,155.05,267.0
Maine,63.0,Terry J.,terry@nypd99.com,153.48000000000002,268.0
Maine,346.0,Cassie Howard,cassie@easthighland.high,152.4,269.0
Maine,252.0,Shawn,shawn@thegoodplace.afterlife,149.05,270.0
Maine,442.0,Carrie Bradshaw,carrie@manhattan.nyc,147.02,271.0
Maine,439.0,David Puddy,puddy@vandelayindustries.com,146.95,272.0
Maine,380.0,Abbey Bartlet,abbey@westwing.gov,146.7,273.0
Maine,203.0,Statler,statler@muppetstudios.com,145.78,274.0
Maine,336.0,Hugo Reyes,hurley@dharma.initiative,144.93,275.0
Maine,30.0,Brienne,brienne@westeros.kingdom,143.81,276.0
Maine,518.0,Baljeet,baljeet@danvillekids.com,143.69,277.0
Maine,428.0,Woody Boyd,woody@cheers.bar,142.47,278.0
Maine,470.0,Bubbles,bubbles@westbaltimore.net,141.76,279.0
Maine,441.0,Uncle Leo,hello@vandelayindustries.com,140.5,280.0
Maine,303.0,Willow R.,willow@sunnydale.high,138.92,281.0
Maine,19.0,Todd,todd@lospolloshermanos.biz,138.82000000000002,282.0
Maine,437.0,Frank Costanza,serenitynow@vandelayindustries.com,135.9,283.0
Maine,168.0,Darius,darius@paperboi.atl,135.85,284.0
Maine,280.0,Cal Abar,cal@keenecounty.police,134.56,285.0
Maine,316.0,Kaylee Frye,kaylee@serenity.ship,132.43,286.0
Maine,471.0,Cedric Daniels,daniels@westbaltimore.net,132.43,286.0
Maine,75.0,Magnitude,pop@greendale.edu,132.41,287.0
Maine,301.0,Miles O'Brien,obrien@ds9.starfleet,129.58999999999997,288.0
Maine,105.0,Jake M.,jake@lawndale.high,129.35000000000002,289.0
Maine,343.0,Jules Vaughn,jules@easthighland.high,126.12,290.0
Maine,165.0,Ken Franklin,franklin@lapd.gov,125.82,291.0
Maine,513.0,Ferb Fletcher,ferb@danvillekids.com,125.73,292.0
Maine,296.0,Benjamin Sisko,sisko@ds9.starfleet,124.68,293.0
Maine,381.0,Will Bailey,will@westwing.gov,124.59,294.0
Maine,77.0,Nicholas Brody,brody@cia.gov,122.58,295.0
Maine,379.0,Charlie Young,charlie@westwing.gov,122.54,296.0
Maine,114.0,Regular Sized Rudy,rudy@bobsburgers.rest,122.21,297.0
Maine,115.0,Gayle,gayle@bobsburgers.rest,122.11,298.0
Maine,13.0,Skyler W.,skyler@lospolloshermanos.biz,121.55999999999999,299.0
Maine,233.0,Hannah McKay,hannah@miamimetro.gov,121.44000000000001,300.0
Maine,212.0,Geoffrey,geoffrey@banksresidence.la,121.35000000000001,301.0
Maine,356.0,Shelly Johnson,shelly@twinpeaks.wa,120.38,302.0
Maine,251.0,Janet,janet@thegoodplace.afterlife,119.66,303.0
Maine,249.0,Jason Mendoza,jason@thegoodplace.afterlife,118.45,304.0
Maine,315.0,Jayne Cobb,jayne@serenity.ship,116.92999999999999,305.0
Maine,501.0,Betty Ramsey,betty@ricardoproductions.tv,114.83,306.0
Maine,192.0,Cyrus Beene,cyrus@oliviapopeandassociates.com,113.84,307.0
Maine,369.0,Bianca B.,bianca@nevermore.academy,112.0,308.0
Maine,476.0,Silvio Dante,silvio@northjersey.net,110.84,309.0
Maine,217.0,Derek Shepherd,mcdreamy@seattlegrace.med,110.25,310.0
Maine,290.0,Worf,worf@enterprise.starfleet,109.9,311.0
Maine,33.0,Bart,elbarto@springfield.power,108.25999999999999,312.0
Maine,328.0,Monica Reyes,reyes@fbi.gov,106.41,313.0
Maine,350.0,Elliot,elliot@easthighland.high,105.59,314.0
Maine,415.0,Oscar the Grouch,oscar@sesamestreet.org,104.28,315.0
Maine,373.0,Leo McGarry,leo@westwing.gov,103.2,316.0
Maine,357.0,Bobby Briggs,bobby@twinpeaks.wa,102.85,317.0
Maine,163.0,Commissioner Halperin,halperin@lapd.gov,101.48,318.0
Maine,129.0,Jason Morgan,jason@generalhospital.med,101.25,319.0
Maine,465.0,Bunk Moreland,bunk@westbaltimore.net,100.43,320.0
Maine,239.0,Tasha Jefferson,tastyee@litchfield.pen,100.41999999999999,321.0
Maine,291.0,Deanna Troi,troi@enterprise.starfleet,100.21,322.0
Maine,32.0,Marge,marge@springfield.power,99.97,323.0
Maine,462.0,Jimmy McNulty,mcnulty@westbaltimore.net,98.64,324.0
Maine,372.0,Josiah Bartlet,president@westwing.gov,98.21000000000001,325.0
Maine,152.0,Marion C.,marion@arnoldsdrivein.diner,97.72,326.0
Maine,331.0,Samantha M.,samantha@fbi.gov,97.66999999999999,327.0
Maine,72.0,Pierce H.,pierce@greendale.edu,97.56,328.0
Maine,495.0,Fred Mertz,fred@ricardoproductions.tv,96.94999999999999,329.0
Maine,386.0,Kenneth Parcell,kenneth@tgs.nbc,96.76,330.0
Maine,506.0,Sandy Cheeks,sandy@bikinibottom.net,96.47,331.0
Maine,56.0,Leslie Knope,leslie@pawnee.gov,95.50999999999999,332.0
Maine,42.0,Jim H.,jim@dundermifflin.com,92.2,333.0
Maine,314.0,Hoban Washburne,wash@serenity.ship,92.1,334.0
Maine,490.0,Ken Cosgrove,ken@sterlingcooper.com,91.83,335.0
Maine,70.0,Annie Edison,annie@greendale.edu,91.3,336.0
Maine,265.0,Beatrice Horseman,beatrice@hollywoo.net,87.86,337.0
Maine,422.0,Sam Malone,sam@cheers.bar,87.36,338.0
Maine,309.0,Anya Jenkins,anya@sunnydale.high,87.28,339.0
Maine,502.0,SpongeBob SquarePants,spongebob@bikinibottom.net,84.1,340.0
Maine,202.0,Scooter,scooter@muppetstudios.com,81.78,341.0
Maine,341.0,Ben Linus,ben@dharma.initiative,81.5,342.0
Maine,401.0,Angela Petrillo,angela@goldengirls.house,79.19,343.0
Maine,40.0,Milhouse,milhouse@springfield.power,77.35,344.0
Maine,485.0,Joan Holloway,joan@sterlingcooper.com,76.86,345.0
Maine,200.0,Animal,animal@muppetstudios.com,76.81,346.0
Maine,323.0,Dana Scully,scully@fbi.gov,76.2,347.0
Maine,488.0,Sally Draper,sally@sterlingcooper.com,75.94999999999999,348.0
Maine,37.0,Mr. Burns,monty@springfield.power,75.7,349.0
Maine,366.0,Uncle Fester,fester@nevermore.academy,74.77,350.0
Maine,418.0,Ernie,ernie@sesamestreet.org,74.28,351.0
Maine,61.0,Jake P.,jake@nypd99.com,71.74,352.0
Maine,76.0,Carrie Mathison,carrie@cia.gov,70.9,353.0
Maine,228.0,Rita B.,rita@miamimetro.gov,70.9,353.0
Maine,21.0,Jon Snow,knowsnothing@westeros.kingdom,70.6,354.0
Maine,321.0,Serenity,serenity@serenity.ship,70.55,355.0
Maine,73.0,Dean Pelton,dean@greendale.edu,70.10000000000001,356.0
Maine,266.0,Michael Bluth,michael@bluthcompany.biz,68.78,357.0
Maine,395.0,Sophia Petrillo,sophia@goldengirls.house,67.97,358.0
Maine,47.0,Stanley H.,stanley@dundermifflin.com,66.16,359.0
Maine,419.0,Count von Count,count@sesamestreet.org,65.81,360.0
Maine,256.0,BoJack Horseman,bojack@hollywoo.net,65.5,361.0
Maine,148.0,Potsie W.,potsie@arnoldsdrivein.diner,64.32,362.0
Maine,149.0,Ralph Malph,ralph@arnoldsdrivein.diner,63.72,363.0
Maine,158.0,Dog,dog@lapd.gov,63.7,364.0
Maine,339.0,Sun Kwon,sun@dharma.initiative,63.36,365.0
Maine,481.0,Adriana La Cerva,adriana@northjersey.net,63.06,366.0
Maine,59.0,April L.,april@pawnee.gov,61.76,367.0
Maine,38.0,Krusty,krusty@springfield.power,61.730000000000004,368.0
Maine,53.0,Dustin H.,dustin@hawkins.ind,60.43,369.0
Maine,82.0,Dana B.,dana@cia.gov,59.120000000000005,370.0
Maine,29.0,Samwell T.,maester@westeros.kingdom,59.06,371.0
Maine,86.0,Will Truman,will@willandgrace.nyc,58.42,372.0
Maine,201.0,Rowlf,rowlf@muppetstudios.com,57.7,373.0
